Name,Type,Compatibility,OAI-PMH,website
"Epidemiologia e Serviços de Saúde",Journal,collected from a compatible aggregator,,http://www.scielo.br/scielo.php?script=sci_serial&amp;pid=2237-9622&amp;lng=en&amp;nrm=iso
"İnsan &amp; Toplum",Journal,collected from a compatible aggregator,,http://insanvetoplum.org/en
"IBDA': Jurnal Kebudayaan Islam",Journal,collected from a compatible aggregator,,http://ejournal.iainpurwokerto.ac.id/index.php/ibda
"IndoMath",Journal,collected from a compatible aggregator,,http://jurnal.ustjogja.ac.id/index.php/Indomath
"Nusantara Bioscience",Journal,collected from a compatible aggregator,,http://biosains.mipa.uns.ac.id/nusbioscience.htm
"Catalan Journal of Linguistics",Journal,collected from a compatible aggregator,,http://revistes.uab.cat/catJL/index
"Darnioji daugiakalbystė",Journal,collected from a compatible aggregator,,https://content.sciendo.com/view/journals/sm/sm-overview.xml
"Redescriptions",Journal,collected from a compatible aggregator,,https://journal-redescriptions.org
"Didattica della Matematica",Journal,collected from a compatible aggregator,,http://www.rivistaddm.ch/?lang=en
"Eurasian Journal of Medicine",Journal,collected from a compatible aggregator,,https://www.eajm.org/eng/Anasayfa
"Amasya İlahiyat Dergisi",Journal,collected from a compatible aggregator,,https://dergipark.org.tr/amailad
"Atrio.",Journal,collected from a compatible aggregator,,https://www.upo.es/revistas/index.php/atrio
"Studia Historica: Historia Antigua",Journal,collected from a compatible aggregator,,http://revistas.usal.es/index.php/0213-2052/index
"Journal of Philosophical Economics",Journal,collected from a compatible aggregator,,https://jpe.ro/
"Journal of Global Radiology",Journal,collected from a compatible aggregator,,http://escholarship.umassmed.edu/jgr/
"Educar",Journal,collected from a compatible aggregator,,http://educar.uab.cat/
"Kom: Časopis za Religijske Nauke",Journal,collected from a compatible aggregator,,http://scindeks.ceon.rs/journalDetails.aspx?issn=2334-6396&amp;lang=en
"International Journal on Emerging Mathematics Education",Journal,collected from a compatible aggregator,,http://journal.uad.ac.id/index.php/IJEME
"Fizička Kultura",Journal,collected from a compatible aggregator,,http://scindeks.ceon.rs/journaldetails.aspx?issn=0350-3828&amp;lang=en
"Revista Brasileira de Oftalmologia",Journal,collected from a compatible aggregator,,http://www.scielo.br/scielo.php?script=sci_serial&amp;lng=pt&amp;pid=0034-7280&amp;nrm=iso
"Dialogue Méditerranéen",Journal,collected from a compatible aggregator,,https://www.univ-sba.dz/med_dialogue
"Jurnal Penelitian dan Evaluasi Pendidikan",Journal,collected from a compatible aggregator,,http://journal.uny.ac.id/index.php/jpep
"Interaction Design and Architecture(s)",Journal,collected from a compatible aggregator,,http://www.mifav.uniroma2.it/inevent/events/idea2010/index.php
"Jurnal Nasional Teknik Elektro dan Teknologi Informasi",Journal,collected from a compatible aggregator,,http://ejnteti.jteti.ugm.ac.id/
"Revista Electrónica Sinéctica",Journal,collected from a compatible aggregator,,http://www.redalyc.org/revista.oa?id=998
"Revista UniVap",Journal,collected from a compatible aggregator,,http://revista.univap.br
"Agriculture",Journal,collected from a compatible aggregator,,https://en.nbpublish.com/e_sh/
"Islamic Guidance and Counseling Journal",Journal,collected from a compatible aggregator,,http://journal.iaimnumetrolampung.ac.id/index.php/igcj
"Nordisk Barnehageforskning",Journal,collected from a compatible aggregator,,http://www.nordiskbarnehageforskning.no/
"Papeles del CEIC: International Journal on Collective Identity Research",Journal,collected from a compatible aggregator,,http://www.ehu.es/ojs/index.php/papelesCEIC/index
"Anuario de Psicología Jurídica",Journal,collected from a compatible aggregator,,https://journals.copmadrid.org/apj/
"IMC Journal of Medical Science",Journal,collected from a compatible aggregator,,http://www.imcjms.com
"Journal of Environmental Geography",Journal,collected from a compatible aggregator,,http://www.degruyter.com/view/j/jengeo
"Revista Electrónica en Educación y Pedagogía",Journal,collected from a compatible aggregator,,https://revedupe.unicesmag.edu.co/index.php/EDUPE
"Life",Journal,collected from a compatible aggregator,,http://www.mdpi.com/journal/life
"Clinical Medicine Insights: Reproductive Health",Journal,collected from a compatible aggregator,,https://journals.sagepub.com/home/reh
"Reports in Advances of Physical Sciences",Journal,collected from a compatible aggregator,,http://www.worldscientific.com/worldscinet/raps
"Теория и практика судебной экспертизы",Journal,collected from a compatible aggregator,,https://www.tipse.ru
"Acta Periodica Duellatorum",Journal,collected from a compatible aggregator,,http://www.degruyter.com/view/j/apd
"Scientific Proceedings. Faculty of Mechanical Engineering",Journal,collected from a compatible aggregator,,http://www.degruyter.com/view/j/stu
"Shock and Vibration",Journal,collected from a compatible aggregator,,https://www.hindawi.com/journals/sv/
"Journal of Ardabil University of Medical Sciences",Journal,collected from a compatible aggregator,,http://jarums.arums.ac.ir/index.php?slc_lang=en&amp;sid=1
"North American Journal of Medical Sciences",Journal,collected from a compatible aggregator,,http://www.najms.org/
"Elementary: Islamic Teacher Journal",Journal,collected from a compatible aggregator,,http://journal.stainkudus.ac.id/index.php/elementary
"Biodiversity Science",Journal,collected from a compatible aggregator,,http://www.biodiversity-science.net/EN/volumn/home.shtml
"ISRN Public Health",Journal,collected from a compatible aggregator,,http://www.isrn.com/journals/ph/
"IET Cyber-Physical Systems",Journal,collected from a compatible aggregator,,http://digital-library.theiet.org/content/journals/iet-cps
"Cadernos de Pesquisa",Journal,collected from a compatible aggregator,,http://www.periodicoseletronicos.ufma.br/index.php/cadernosdepesquisa
"Linguística : Revista de Estudos Linguísticos da Universidade do Porto",Journal,collected from a compatible aggregator,,http://ler.letras.up.pt/site/default.aspx?qry=id04id191&amp;sum=sim
"Acta Horti Botanici Bucurestiensis",Journal,collected from a compatible aggregator,,http://www.degruyter.com/view/j/ahbb
"Apparatus. Film, Media and Digital Cultures of Central and Eastern Europe",Journal,collected from a compatible aggregator,,http://www.apparatusjournal.net
"Francigena",Journal,collected from a compatible aggregator,,http://www.francigena-unipd.com/index.php/francigena/index
"Cellular and Molecular Gastroenterology and Hepatology",Journal,collected from a compatible aggregator,,https://www.journals.elsevier.com/cellular-and-molecular-gastroenterology-and-hepatology/
"Bulletin of Emergency and Trauma",Journal,collected from a compatible aggregator,,http://beat.sums.ac.ir/
"Complex Systems Informatics and Modeling Quarterly",Journal,collected from a compatible aggregator,,https://csimq-journals.rtu.lv/
"Analytical Chemistry Insights",Journal,collected from a compatible aggregator,,http://insights.sagepub.com/journal-analytical-chemistry-insights-j1
"Quaderni di Sociologia",Journal,collected from a compatible aggregator,,http://qds.revues.org
"Journal of Diabetes &amp; Metabolic Disorders",Journal,collected from a compatible aggregator,,http://www.jdmdonline.com/
"Open Political Science",Journal,collected from a compatible aggregator,,https://www.degruyter.com/view/j/openps
"International Journal of Engineering Business Management",Journal,collected from a compatible aggregator,,http://enb.sagepub.com/
"Revista Colombiana de Ciencia Animal Recia",Journal,collected from a compatible aggregator,,http://www.recia.edu.co/
"Sovremennoe Stroitelʹstvo i Arhitektura",Journal,collected from a compatible aggregator,,http://modern-construction.ru/
"SICOT-J",Journal,collected from a compatible aggregator,,http://www.sicot-j.org/
"Applied Computer Systems",Journal,collected from a compatible aggregator,,http://www.degruyter.com/view/j/acss
"Efficacy and Mechanism Evaluation",Journal,collected from a compatible aggregator,,https://www.journalslibrary.nihr.ac.uk/eme/
"British Journal of Medical Practitioners",Journal,collected from a compatible aggregator,,http://www.bjmp.org
"Conflict and Health",Journal,collected from a compatible aggregator,,http://www.conflictandhealth.com/
"Cahiers Balkaniques",Journal,collected from a compatible aggregator,,http://ceb.revues.org/
"Rehuso",Journal,collected from a compatible aggregator,,http://revistas.utm.edu.ec/index.php/Rehuso
"Panorama Cuba y Salud",Journal,collected from a compatible aggregator,,http://www.revpanorama.sld.cu/
"Journal of Amino Acids",Journal,collected from a compatible aggregator,,https://www.hindawi.com/journals/jaa/
"Research in Sierra Leone Studies : Weave",Journal,collected from a compatible aggregator,,http://weavesl.org/
"Open Life Sciences",Journal,collected from a compatible aggregator,,http://www.degruyter.com/view/j/biol
"Particles",Journal,collected from a compatible aggregator,,https://www.mdpi.com/journal/particles
"Revista Iberoamericana de Evaluación Educativa",Journal,collected from a compatible aggregator,,https://revistas.uam.es/riee
"Musicology Today",Journal,collected from a compatible aggregator,,http://www.degruyter.com/view/j/muso
"GeoGebra",Journal,collected from a compatible aggregator,,http://ggijro.wordpress.com/
"Rasprave: Časopis Instituta za Hrvatski Jezik i Jezikoslovlje",Journal,collected from a compatible aggregator,,http://ihjj.hr/stranica/rasprave-casopis-instituta-za-hrvatski-jezik-i-jezikoslovlje/33/
"Aquaculture, Aquarium, Conservation & Legislation",Journal,collected from a compatible aggregator,,http://www.bioflux.com.ro/aacl
"Perinatología y Reproducción Humana",Journal,collected from a compatible aggregator,,http://perinatologia.mx/index.php
"International Journal of Social Sciences &amp; Educational Studies",Journal,collected from a compatible aggregator,,http://www.ijsses.org/
"Romanian Journal of Military Medicine",Journal,collected from a compatible aggregator,,http://www.revistamedicinamilitara.ro/
