Attaqwa: Jurnal Ilmu Pendidikan Islam	Journal	collected from a compatible aggregator		https://jurnal.staidagresik.ac.id/index.php/attaqwa/index
Atthiflah: Journal of Early Childhood Islamic Education	Journal	collected from a compatible aggregator		https://jurnal.staidagresik.ac.id/index.php/atthiflah/index
JURNAL LEGALITAS	Journal	collected from a compatible aggregator		http://ejurnal.ung.ac.id/index.php/JL/
Jambura Journal of Health Sciences and Research	Journal	collected from a compatible aggregator		http://ejurnal.ung.ac.id/index.php/jjhsr/
JURNAL KEPENDIDIKAN	Journal	collected from a compatible aggregator		http://ejurnal.ung.ac.id/index.php/JK/
Jambura Science of Management	Journal	collected from a compatible aggregator		http://ejurnal.ung.ac.id/index.php/jsm/
Journal Health &amp; Science : Gorontalo Journal Health and Science Community	Journal	collected from a compatible aggregator		http://ejurnal.ung.ac.id/index.php/gojhes/
AGRINESIA: Jurnal Ilmiah Agribisnis	Journal	collected from a compatible aggregator		http://ejurnal.ung.ac.id/index.php/AGR/
Jambura Journal of Animal Science	Journal	collected from a compatible aggregator		http://ejurnal.ung.ac.id/index.php/jjas/
Jambura History and Culture Journal	Journal	collected from a compatible aggregator		http://ejurnal.ung.ac.id/index.php/jhcj/
Jurnal Nike	Journal	collected from a compatible aggregator		http://ejurnal.ung.ac.id/index.php/nike/
Jambura Economic Education Journal	Journal	collected from a compatible aggregator		http://ejurnal.ung.ac.id/index.php/jej/
Jurnal Pelangi Ilmu	Journal	Not yet registered		http://ejurnal.ung.ac.id/index.php/JPI/
Jambura Equilibrium Journal	Journal	collected from a compatible aggregator		http://ejurnal.ung.ac.id/index.php/equij/
Jambura Agribusiness Journal	Journal	collected from a compatible aggregator		http://ejurnal.ung.ac.id/index.php/jaj/
Jambura Journal of Informatics	Journal	collected from a compatible aggregator		http://ejurnal.ung.ac.id/index.php/jji/
Jambura Fish Processing Journal	Journal	collected from a compatible aggregator		http://ejurnal.ung.ac.id/index.php/jfpj/
Jambura Journal of Sports Coaching	Journal	collected from a compatible aggregator		http://ejurnal.ung.ac.id/index.php/jjsc/
Jambura Geoscience Review	Journal	Not yet registered		http://ejurnal.ung.ac.id/index.php/jgeosrev/
Jambura Journal of Chemistry	Journal	collected from a compatible aggregator		http://ejurnal.ung.ac.id/index.php/jjc/
Jambura Journal of Electrical and Electronics Engineering	Journal	collected from a compatible aggregator		http://ejurnal.ung.ac.id/index.php/jjeee/
Jambura Health and Sport Journal	Journal	collected from a compatible aggregator		http://ejurnal.ung.ac.id/index.php/jhsj/
