Name,Type,Compatibility,OAI-PMH,website
"OpenAPC Global Initiative","Data Repository Aggregator","proprietary","","https://www.openapc.net/"
"DIE ERDE: Journal of the Geographical Society of Berlin","Journal","collected from a compatible aggregator","","http://www.die-erde.org"
"People Living with And Inspired by Diabetes","Journal","collected from a compatible aggregator","","http://theplaidjournal.com"
"Applications in Plant Sciences","Journal","collected from a compatible aggregator","","https://bsapubs.onlinelibrary.wiley.com/journal/21680450"
"BioResearch Open Access","Journal","collected from a compatible aggregator","","http://www.liebertpub.com/biores"
"Brown Journal of Hospital Medicine","Journal","Not yet registered","","https://sites.brown.edu/bjhm/"
"Joint and Bone Science Journal","Journal","Not yet registered","","http://www.jbsjournal.org"
"Economics: Journal Articles","Journal","collected from a compatible aggregator","","https://www.degruyter.com/journal/key/ECON/html"
"Comparative Population Studies","Journal","collected from a compatible aggregator","","https://www.comparativepopulationstudies.de/index.php/CPoS/index"
"ACS Nanoscience Au","Journal","Not yet registered","","https://pubs.acs.org/journal/anaccx"
"Open Philosophy","Journal","collected from a compatible aggregator","","https://www.degruyter.com/view/j/opphil"
"Science Advances","Journal","collected from a compatible aggregator","","https://www.science.org/journal/sciadv"
"Georgia Educational Researcher","Journal","collected from a compatible aggregator","","https://digitalcommons.georgiasouthern.edu/gerjournal/"
"Landtechnik","Journal","collected from a compatible aggregator","","http://www.landtechnik-online.eu"
"Journal of Interactive Online Learning","Journal","collected from a compatible aggregator","","http://www.ncolr.org/issues/jiol"
"Zeitschrift für Kristallographie - New Crystal Structures","Journal","collected from a compatible aggregator","","https://www.degruyter.com/journal/key/ncrs/html"
