13	Archivos de Neurologia		annyn.org.ar	research center	Argentina	DSpace	
14	Arctic Council	Arctic Council - Open Access Archive		government	Norway	DSpace	
15	Arctic Council Secretariat		arctic-council.org		Canada	DSpace	4.x
16	Ardahan University	Ardahan University Institutional Repository	ardahan.edu.tr	academic	Turkey	DSpace	6.x
17	Arista Publishing LLC	Registro de Ceremonial, Protocolo y Simbologia		public/national library	United States	Fedora	4.x
18	Arizona State University		asu.edu	academic	United States	Fedora	5.x
19	Arizona State University Libraries		asu.edu	academic	United States	Fedora	
20	Armada del Ecuador	Aguena	armada.mil.ec	academic	Ecuador	DSpace	6.x
21	Arquivo Português de Matemática		mathdir.org	academic	Portugal	DSpace	
22	ArquivoWeb	Arquivoweb		personal	Brazil	Fedora	4.x
23	ArtE2-3D	ArtE2-3D		personal	United Arab Emirates	DSpace	4.x
24	Artesanías de Colombia, Colo		artesaniasdecolombia.com.co	other	Colombia	DSpace	
25	Organization Name	Site Name	Site URL	Type of Organization	Country	Technology	Version
0	Arts et Metiers ParisTech		ensam.eu	academic	France	DSpace	4.x
1	Artvin Çoruh Üniversitesi	DSpace@ArtvinCoruh		academic	Turkey	DSpace	
2	Aryabhatta Research Institute of Observational Sciences	Digital Repository of Aryabhatta Research Institute of Observational Sciences (ARIES)		government	India	DSpace	1.x
3	Asbroc		brocante-vide-grenier-fr.com	non-profit	France	DSpace	1.x
4	Asbury Theological Seminary		asburyseminary.edu	academic	United States	DSpace	1.x
5	ASH Library			personal	Malaysia	DSpace	1.x
6	Ashesi University College		ashesi.edu.gh	academic	Ghana	DSpace	5.x
7	Ashoka institute of Technology and Management	ashokainstitute.com	ashokainstitute.com	academic	India	DSpace	6.x
8	Ashui.com		ashui.com	public/national library	Vietnam	DSpace	1.x
9	Asia Pacific Institute of Management Studies		asiapacific.edu	academic	India	DSpace	
10	Asia University		asia.edu.tw	academic	Taiwan	DSpace	
11	Asian Development Bank		adb.org	other	Philippines	DSpace	
12	Asian Institute of Technology		kids-d.org	academic	Thailand	DSpace	
13	Association Imhotep		association-egyptologie-imhotep.eu	non-profit	France	DSpace	4.x
14	Assumption University	Assumption University Institutional Repository		academic	Thailand	DSpace	5.x
15	Assynt Community Association	Assynt Community Digital Archive		other	United Kingdom	DSpace	4.x
16	ASU elektroninė talpykla		lzuu.lt		Lithuania	DSpace	1.x
17	Ateneo de Manila High School		admu.edu.ph	academic	Philippines	DSpace	3.x
18	Athabasca University	AUSpace	athabascau.ca	academic	Canada	DSpace	6.x
19	Athens Archaeological Society		archetai.gr	non-profit	Greece	Fedora	
20	Athens Information Technology		aitdspace.gr	research center	Greece	DSpace	1.x
21	Atlantic Climate Adaptation Solutions Association		atlanticadaptation.ca	research center	Canada	Fedora	
22	ATN e-shop		atneshop.com	academic	Bangladesh	DSpace	1.x
23	Auburn University	AUETD		academic	United States	DSpace	3.x
24	Australian Government, Defence Science Technology Organisation		defence.gov.au	government	Australia	DSpace	1.x
25	Organization Name	Site Name	Site URL	Type of Organization	Country	Technology	Version
0	Australian National University		anu.edu.au	academic	Australia	DSpace	4.x
